"date","Tripura/Dhalai","Tripura/Gomati","Tripura/Khowai","Tripura/North Tripura","Tripura/Sipahijala","Tripura/South Tripura","Tripura/Unokoti","Tripura/West Tripura"
"2020-04-06","","","","","","","",""
"2020-04-10","","","","","","","",""
"2020-04-30","","","","","","","",""
"2020-05-02","","","","","","","",""
"2020-05-03","","","","","","","",""
"2020-05-04","","","","","","","",""
"2020-05-05","","","","","","","",""
"2020-05-06","","","","","","","",""
"2020-05-07","","","","","","","",""
"2020-05-08","","","","","","","",""
"2020-05-09","","","","","","","",""
"2020-05-10","","","","","","","",""
"2020-05-12","","","","","","","",""
"2020-05-13","","","","","","","",""
"2020-05-14","27","","","","","","",""
"2020-05-15","40","","","","","","",""
"2020-05-16","62","","","","","","",""
"2020-05-17","83","","","","","","",""
"2020-05-18","87","","","","","","",""
"2020-05-19","114","","","","","","",""
"2020-05-21","146","","","","","","",""
"2020-05-22","150","","","","","","",""
"2020-05-23","150","","","","","","",""
"2020-05-24","160","","1","2","","","",""
"2020-05-26","160","","1","2","","","",""
"2020-05-27","","","1","2","","","",""
"2020-05-28","162","","","","","","",""
"2020-05-30","163","1","1","","2","","1",""
"2020-05-31","163","1","","3","2","","1",""
"2020-06-01","","1","1","","2","","1",""
"2020-06-02","163","1","","","2","","1",""
"2020-06-03","","1","1","3","2","","1",""
"2020-06-04","163","1","1","3","2","","",""
"2020-06-05","163","1","1","","2","","1",""
"2020-06-06","163","1","1","3","2","","",""
"2020-06-07","164","4","4","","5","2","","7"
"2020-06-08","","","","","5","","",""
"2020-06-09","","","4","","5","2","","7"
"2020-06-10","170","26","13","6","9","4","1","8"
"2020-06-11","171","29","14","","32","7","2","15"
"2020-06-12","","29","","","32","7","2",""
"2020-06-13","176","37","14","","52","9","4","15"
"2020-06-14","","","","","52","","",""
"2020-06-15","","39","16","","99","31","44","20"
"2020-06-16","184","60","23","8","136","57","45","41"
"2020-06-17","","60","","","136","57","","41"
"2020-06-18","196","75","24","9","176","66","47","44"
"2020-06-19","197","76","","","186","66","48","49"
"2020-06-20","198","77","","","204","","49","51"
"2020-06-21","200","81","26","11","265","67","49","58"
"2020-06-22","200","","26","11","272","68","49","73"
"2020-06-23","201","86","26","12","278","74","","79"
"2020-06-24","","","28","","359","","","86"
"2020-06-25","201","89","28","12","476","74","","88"
"2020-06-26","202","90","30","","496","74","59","90"
"2020-06-27","201","97","30","12","508","76","","86"
"2020-06-28","","100","30","","514","","59","85"
"2020-06-29","","100","30","","517","76","59","88"
"2020-06-30","","","30","12","","76","","88"
"2020-07-01","","100","30","14","521","77","","89"
"2020-07-02","201","109","32","15","522","79","65","121"
"2020-07-03","201","109","32","15","522","79","65","121"
"2020-07-04","203","110","36","17","528","99","66","141"
"2020-07-05","203","110","36","17","531","100","","141"
"2020-07-06","204","114","37","17","533","100","66","146"
"2020-07-07","209","115","43","19","545","","69","146"
"2020-07-08","213","132","63","22","555","120","69","148"
"2020-07-09","","133","63","22","555","129","","152"
"2020-07-10","213","154","66","22","561","130","","155"
"2020-07-11","213","154","67","22","563","130","69","155"
"2020-07-12","218","164","70","29","563","133","71","171"
"2020-07-13","241","168","79","34","563","135","","182"
"2020-07-14","242","179","80","42","587","135","73","198"
"2020-07-15","245","207","88","46","589","137","73","217"
"2020-07-16","245","207","88","46","589","137","73","217"
"2020-07-17","252","222","124","47","598","","","229"
"2020-07-18","252","243","126","52","605","138","80","237"
"2020-07-19","248","248","134","56","612","138","80","241"
"2020-07-20","250","260","157","60","628","141","80","267"
"2020-07-21","264","263","200","60","627","147","80","283"
"2020-07-22","270","296","202","70","636","150","82","325"
"2020-07-23","279","296","204","71","646","156","82","336"
"2020-07-24","282","303","213","73","653","158","86","361"
"2020-07-25","297","328","213","75","660","178","86","371"
"2020-07-26","301","369","225","106","698","184","93","384"
"2020-07-27","325","377","244","106","726","186","93","408"
"2020-07-28","342","409","257","126","758","194","97","436"
"2020-07-29","342","426","259","126","769","197","97","460"
"2020-07-30","352","483","272","147","811","218","102","575"
"2020-07-31","524","516","280","199","840","235","110","621"
"2020-08-01","524","541","281","264","859","236","111","645"
"2020-08-02","561","550","288","286","900","253","111","654"
"2020-08-04","567","572","301","287","906","255","112","673"
"2020-08-05","572","575","301","303","914","255","","691"
"2020-08-06","585","587","313","303","927","255","114","707"
"2020-08-07","591","597","317","303","944","256","","736"
"2020-08-08","616","655","337","328","973","271","","788"
"2020-08-09","621","659","342","328","1004","289","115","816"
"2020-08-10","626","740","363","347","1037","324","123","881"
"2020-08-11","630","773","382","373","1068","324","124","980"
"2020-08-12","636","793","392","407","1114","329","124","1041"
"2020-08-13","636","801","393","424","1118","330","128","1080"
"2020-08-14","642","817","402","426","1132","343","130","1121"
"2020-08-15","644","825","406","437","1156","345","130","1143"
"2020-08-16","644","827","407","437","1182","351","132","1169"
"2020-08-17","647","869","414","469","1191","359","132","1203"
"2020-08-18","657","880","421","489","1200","376","133","1246"
"2020-08-19","662","880","424","510","1210","403","133","1273"
"2020-08-20","662","883","427","537","1226","404","136","1288"
"2020-08-21","667","891","442","537","1237","404","136","1335"
"2020-08-22","672","1003","521","557","1269","405","136","1496"
"2020-08-23","680","1020","529","563","1290","406","137","1555"
"2020-08-24","685","1059","539","596","1302","411","145","1602"
"2020-08-25","685","1062","549","596","1316","420","145","1639"
"2020-08-26","687","1063","583","620","1317","425","179","1698"
"2020-08-27","698","1094","589","638","1322","428","179","1747"
"2020-08-28","729","1106","598","660","1328","429","179","1808"
"2020-08-29","742","1133","620","707","1344","430","180","1879"
"2020-08-30","757","1140","638","719","1360","447","198","1971"
"2020-08-31","763","1158","660","729","1377","458","220","2066"
"2020-09-01","791","1161","679","732","1396","487","235","2171"
"2020-09-02","807","1171","696","747","1409","513","245","2257"
"2020-09-03","836","1181","717","771","1428","520","257","2321"
"2020-09-04","853","1191","726","792","1437","524","276","2411"
"2020-09-05","867","1244","737","827","1443","554","292","2517"
"2020-09-06","880","1287","753","847","1469","567","303","2637"
"2020-09-07","902","1327","762","851","1477","591","374","2762"
"2020-09-08","916","1338","777","895","1544","615","379","2876"
"2020-09-09","946","1364","810","918","1555","647","418","2993"
"2020-09-10","963","1388","838","943","1586","665","465","3143"
"2020-09-11","969","1416","849","963","1608","676","500","3272"
"2020-09-12","1035","1480","880","1006","1673","724","578","3618"
"2020-09-13","1097","1497","883","1021","1727","775","631","3761"
"2020-09-14","1122","1542","935","1061","1745","803","664","3924"
"2020-09-15","1175","1576","959","1094","1782","822","676","4101"
"2020-09-16","1211","1617","1002","1111","1811","855","730","4358"
