"date","Manipur/Bishnupur","Manipur/CAPF Personnel","Manipur/Chandel","Manipur/Churachandpur","Manipur/Imphal East","Manipur/Imphal West","Manipur/Jiribam","Manipur/Kakching","Manipur/Kamjong","Manipur/Kangpokpi","Manipur/Meitram","Manipur/Noney","Manipur/Pherzawl","Manipur/Senapati","Manipur/Tamenglong","Manipur/Tengnoupal","Manipur/Thoubal","Manipur/Ukhrul","Manipur/kasom khulem"
"2020-08-13","-1","32","","3","11","11","","","","","","","","0","","","41","",""
"2020-08-14","3","-24","","5","1","4","","-2","","","","-2","","","","","-39","2",""
"2020-08-15","-2","116","7","","12","-23","","0","-2","","","5","","2","","","-3","",""
"2020-08-16","","-20","","","-16","42","","","","0","","-6","","-1","","","-1","0",""
"2020-08-17","","-87","","-8","3","25","","","","","","0","","","0","","2","",""
"2020-08-18","5","-19","","","4","-28","","","","","","0","","","","","-4","",""
"2020-08-19","-8","51","-7","4","2","-18","","1","","","","","","","","","-1","",""
"2020-08-20","3","-47","0","","-12","-7","","","","","","","","-1","","","6","-1",""
"2020-08-21","1","17","7","-3","20","31","","-1","","","","","","","0","","-2","",""
"2020-08-22","0","-4","-5","2","-9","-24","","0","","","","","","","","","0","",""
"2020-08-23","0","25","-2","","0","9","","0","","","","-1","","","","","1","-1",""
"2020-08-24","-3","-5","","1","8","-4","","0","","","","","","","","","1","2",""
"2020-08-25","11","-34","1","-1","-18","7","","","","","","","","","","","3","",""
"2020-08-26","-9","17","","-1","25","19","","0","","0","","2","","0","","","4","",""
"2020-08-27","0","-7","4","-1","-22","28","","","","4","","","","0","","","-6","-2",""
"2020-08-28","-3","19","","0","14","-48","","0","","","","","","1","","0","4","",""
"2020-08-29","1","-7","","2","-15","25","","","","","","","","","","","-6","",""
"2020-08-30","0","-11","0","3","15","-13","","17","","-4","","","","-1","","2","14","5",""
"2020-08-31","-1","18","0","-2","-3","-23","8","","","0","","","","2","","7","-3","2",""
"2020-09-01","6","-34","","1","-16","34","-3","","","1","","","","-1","13","","5","-6",""
"2020-09-02","10","-1","0","22","13","-20","","-13","","","","","","","","","-8","",""
"2020-09-03","-13","25","6","-26","-7","-26","","","","","","","","","","6","6","",""
"2020-09-04","9","-3","","","1","-4","-3","-3","","","","","","","","-2","-12","",""
"2020-09-05","-10","0","","2","0","88","","","","5","","3","","-1","-13","-6","11","-1",""
"2020-09-06","-1","-6","","-2","9","-24","","","","","","","","0","0","","-1","1",""
"2020-09-07","250","1326","103","430","617","1643","136","209","","332","","62","","","","","700","",""
