"date","Kerala/Alappuzha","Kerala/Ernakulam","Kerala/Idukki","Kerala/KAsaragod","Kerala/Kannur","Kerala/Kasaragod","Kerala/Kollam","Kerala/Kottayam","Kerala/Kozhikode","Kerala/Malappuram","Kerala/Other State","Kerala/Palakkad","Kerala/Pathanamthitta","Kerala/Thiruvananthapuram","Kerala/Thrissur","Kerala/Wayanad","Kerala/Will add when bulletin is released","Kerala/idukki"
"2020-06-17","1","1","","","4","","1","0","1","2","","1","1","4","3","1","",""
"2020-06-18","1","1","","","5","","1","0","1","2","","1","1","4","3","1","",""
"2020-06-19","1","1","","","5","","1","0","1","2","","1","1","4","3","1","",""
"2020-06-20","1","1","","","5","","1","0","1","2","","1","1","4","3","1","",""
"2020-06-21","1","1","","","5","","1","0","1","2","","1","1","4","3","","",""
"2020-06-22","1","1","","","5","","1","0","1","2","","1","1","4","3","1","",""
"2020-06-23","1","1","","","5","","2","0","1","2","","1","1","4","3","1","",""
"2020-06-24","1","1","","","5","","2","0","1","2","","1","1","4","3","1","",""
"2020-06-25","1","1","","","5","","2","0","1","2","","1","1","4","3","1","",""
"2020-06-26","1","1","","","5","","2","0","1","2","","1","1","4","3","1","",""
"2020-06-27","1","1","","","5","","2","0","1","2","","1","1","4","3","1","",""
"2020-06-28","1","1","","","5","","2","0","1","2","","1","1","4","3","1","",""
"2020-06-29","1","1","","","5","","2","0","1","3","","1","1","4","3","","",""
"2020-06-30","1","1","","","5","","2","0","1","3","","1","1","5","3","1","",""
"2020-07-01","1","1","","","5","","2","0","2","3","","1","1","5","3","1","",""
"2020-07-02","1","1","","","5","","2","0","2","3","","1","1","5","3","1","",""
"2020-07-03","1","1","","","5","","2","0","2","3","","1","1","5","3","1","",""
"2020-07-04","1","1","","","5","","2","0","2","3","","1","1","5","3","1","",""
"2020-07-05","1","1","","","5","","2","0","2","3","","1","1","5","3","1","",""
"2020-07-06","1","2","","","5","","2","0","2","4","","1","1","5","3","1","",""
"2020-07-07","1","2","","","5","","2","0","2","4","","1","1","5","3","1","",""
"2020-07-08","1","2","","","5","","2","0","2","4","","1","1","5","3","1","",""
"2020-07-09","1","2","","","5","","2","0","2","4","","1","1","5","3","1","",""
"2020-07-10","1","2","","","5","","2","0","2","4","","1","1","5","3","1","",""
"2020-07-11","1","3","","","5","","2","0","2","4","","1","1","6","3","1","",""
"2020-07-12","2","3","","","5","","2","0","2","4","","1","1","6","4","1","",""
"2020-07-13","2","3","","","6","","3","0","2","4","","1","1","6","4","1","",""
"2020-07-14","3","3","","","6","","3","0","2","4","","1","1","6","4","1","",""
"2020-07-15","3","3","1","","6","","3","0","2","4","","1","1","6","4","1","",""
"2020-07-16","3","3","1","","7","","3","0","2","4","","1","1","6","5","1","",""
"2020-07-17","3","3","1","","7","","3","0","2","4","","1","1","6","6","1","",""
"2020-07-18","3","3","1","","7","","3","0","2","4","","1","1","8","6","1","",""
"2020-07-19","3","4","1","","7","1","3","0","2","4","","1","1","8","6","1","",""
"2020-07-20","3","4","1","","7","1","3","0","2","4","","1","1","8","7","1","",""
"2020-07-21","3","4","1","","7","1","3","0","2","4","","1","1","9","7","1","",""
"2020-07-22","3","4","2","","7","1","3","0","2","4","","1","1","9","7","1","",""
"2020-07-23","3","5","2","","8","1","4","0","3","4","","1","1","10","7","1","",""
"2020-07-24","4","5","2","","8","3","4","0","3","4","","1","1","11","7","1","",""
"2020-07-25","4","6","2","","8","4","4","0","5","4","","2","1","11","7","1","",""
"2020-07-26","4","6","2","","8","4","4","0","5","5","","2","1","11","8","1","",""
"2020-07-27","4","6","2","","8","4","4","1","6","5","","2","1","11","8","1","",""
"2020-07-28","5","7","2","","8","5","4","1","6","5","","2","1","12","8","1","",""
"2020-07-29","5","7","2","","8","5","4","1","6","6","","2","1","12","8","1","",""
"2020-07-30","5","8","2","","8","5","4","1","7","6","","2","1","12","8","1","",""
"2020-07-31","5","10","2","","8","5","5","1","7","6","","2","1","12","8","1","",""
"2020-08-01","5","12","2","","8","6","6","1","8","7","","2","1","13","9","1","",""
"2020-08-02","5","12","2","","8","6","6","1","8","7","","2","1","14","9","1","",""
"2020-08-03","6","12","2","","8","6","6","1","8","7","","2","1","15","9","1","",""
"2020-08-04","6","13","2","","8","6","6","1","9","7","","2","1","16","9","1","",""
"2020-08-05","6","14","2","","9","7","7","1","12","7","","2","1","16","9","1","",""
"2020-08-06","6","14","2","","9","9","7","1","12","7","","2","1","17","9","1","",""
"2020-08-07","6","15","2","","10","10","7","1","12","8","","2","1","18","9","1","",""
