"date","Punjab/Amritsar","Punjab/Barnala","Punjab/Bathinda","Punjab/Faridkot","Punjab/Fatehgarh Sahib","Punjab/Fazilka","Punjab/Ferozepur","Punjab/Gurdaspur","Punjab/Hoshiarpur","Punjab/JAlandhar","Punjab/Jalandhar","Punjab/Kapurthala","Punjab/Ludhiana","Punjab/Mansa","Punjab/Moga","Punjab/Pathankot","Punjab/Patiala","Punjab/Rupnagar","Punjab/S.A.S. Nagar","Punjab/Sangrur","Punjab/Shahid Bhagat Singh Nagar","Punjab/Sri Muktsar Sahib","Punjab/Tarn Taran","Punjab/hoshiarpur"
"2020-03-19","","","","","","","","","","","","","","","","","","","","","   .00 %","","",""
"2020-03-20","","","","","","","","","","","","","","","","","","","   .00 %","","","","",""
"2020-03-21","","","","","","","","","   .00 %","","","","","","","","",""," ##.## %","","   .00 %","","",""
"2020-03-22","   .00 %","","","","","","","","","","","","","","","","","","",""," ##.## %","","",""
"2020-03-23","","","","","","","","","","","","","","","","","",""," 25.00 %","","  7.69 %","","",""
"2020-03-24","","","","","","","",""," ##.## %","","   .00 %","","","","","","",""," 20.00 %","","","","",""
"2020-03-25","","","","","","","",""," 33.33 %","","","","   .00 %","","","","","","","","","","",""
"2020-03-26","","","","","","","","","",""," 33.33 %","","","","","","","","","","  7.14 %","","",""
"2020-03-27","","","","","","","","","",""," 25.00 %","","","","","","",""," 16.67 %",""," 20.00 %","","",""
"2020-03-30","","","","","","","",""," 50.00 %","","",""," ##.## %","","","","","","","","","","",""
"2020-03-31"," ##.## %","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-01","","","","","","","","","","","",""," 50.00 %","","","","",""," 42.86 %","","","","",""
"2020-04-02","","","","","","","",""," 16.67 %","","","","","","","","","","","","","","",""
"2020-04-03"," ##.## %","","","","","","","","","","",""," 33.33 %","","","","   .00 %",""," 20.00 %","","","","",""
"2020-04-04"," 75.00 %","","","   .00 %","","","","","",""," 20.00 %","","","   .00 %","","   .00 %","","   .00 %"," 16.67 %","","","","",""
"2020-04-05","","   .00 %","","","","","","","","","",""," 25.00 %","","","","","","  7.14 %","","","","",""
"2020-04-06"," 14.29 %","","","","   .00 %","","","","","","","   .00 %"," 20.00 %","","","",""," ##.## %"," 26.67 %","","","","",""
"2020-04-07"," 12.50 %","","","","","","","","","","","",""," 66.67 %","   .00 %","   .00 %","",""," 36.84 %","","","","",""
"2020-04-08","","",""," ##.## %","","","","","",""," 33.33 %","","","","","","",""," 15.38 %","","","","",""
"2020-04-09"," 11.11 %"," ##.## %","","","","","","","",""," 37.50 %",""," 66.67 %"," ##.## %","","","",""," 23.33 %","   .00 %","","   .00 %","",""
"2020-04-10","","","","","","","","","","","  9.09 %","","","",""," ##.## %","",""," 29.73 %"," ##.## %","","","",""
"2020-04-11","","","","","","","","","",""," 25.00 %","","","","","  7.14 %"," ##.## %","","  4.17 %","","","","",""
"2020-04-12","","",""," 50.00 %","","","","","",""," 46.67 %"," ##.## %","","","","","","","  6.00 %","","","","",""
"2020-04-13","","","","","","","","","","","  9.09 %",""," 10.00 %","",""," 13.33 %","","","  1.89 %","","","","",""
"2020-04-14","","","","","","","","   .00 %","","","  4.17 %","","","",""," 23.53 %","","","  3.70 %","","","","",""
"2020-04-15","","","","","","","","","","","","","","","",""," 50.00 %","",""," 50.00 %","","","",""
"2020-04-16","","","","","","","","","",""," 24.00 %","","","","","  9.52 %"," ##.## %","","","","","","",""
"2020-04-17","","","","","","","   .00 %","","",""," 12.90 %",""," 36.36 %","","",""," 83.33 %","","","","","","",""
"2020-04-18","","","","","","",""," ##.## %","",""," 17.14 %","","","","",""," ##.## %","","  1.79 %","","","","",""
"2020-04-19","","","","","","","","-50.00 %","",""," 14.63 %","","","","","","","","  7.02 %","","","","",""
"2020-04-20","","","","","","","","","","","  2.13 %","","","","","","","","","","","","",""
"2020-04-21","","","","","","","","","","","","","","","",""," 19.23 %","","  1.64 %","","","","",""
"2020-04-22"," 20.00 %","","","","","","","","",""," 12.50 %"," 50.00 %","","","",""," 58.06 %","","","","","","",""
"2020-04-23","","","","","","","","","","","  9.26 %","","","","","","","","","","","","",""
"2020-04-24","  8.33 %","","","","","","","","","","  6.78 %","","  6.67 %"," 18.18 %","",""," 12.24 %","","  1.61 %","","","","",""
"2020-04-25","","","","","","","","","","","  4.76 %","","","","","  4.35 %"," 10.91 %","","","","","","",""
"2020-04-26","","","","","","","","","","","  4.55 %","","  6.25 %","","","","","","","","  5.56 %","","",""
"2020-04-27","   .00 %","","","","","","","","","","   .00 %"," ##.## %","   .00 %","","","","   .00 %","","   .00 %","","","","   .00 %",""
"2020-04-28","","","","","","","",""," 14.29 %",""," 10.14 %","","","","","","","","  3.17 %","","",""," 40.00 %",""
"2020-04-29","","","   .00 %"," ##.## %","","","",""," 37.50 %","","  1.32 %",""," 64.71 %","","","","  3.28 %",""," 12.31 %"," 33.33 %"," 10.53 %","","",""
"2020-04-30"," ##.## %","","","   .00 %","",""," ##.## %"," ##.## %","","","  3.90 %"," ##.## %"," ##.## %",""," 25.00 %","","  1.59 %"," 66.67 %"," 17.81 %"," 50.00 %","  4.76 %"," ##.## %"," ##.## %",""
"2020-05-01"," ##.## %","","",""," 50.00 %","   .00 %"," ##.## %","","",""," 20.00 %",""," 20.97 %","   .00 %"," 20.00 %","","  1.56 %","","  6.98 %","","","   .00 %","",""
"2020-05-02"," 59.55 %","","",""," ##.## %",""," 52.94 %"," 25.00 %"," ##.## %",""," 15.62 %","  8.33 %"," 28.00 %",""," ##.## %",""," 32.31 %"," 20.00 %","  2.17 %"," 16.67 %",""," 75.00 %","",""
"2020-05-03"," 52.82 %"," ##.## %"," ##.## %","   .00 %"," 77.78 %",""," 11.54 %"," ##.## %"," ##.## %","","  3.60 %",""," 14.58 %"," 23.08 %","","","   .00 %"," ##.## %","  1.06 %"," 57.14 %"," ##.## %"," ##.## %","",""
"2020-05-04",""," ##.## %","  2.86 %"," ##.## %","",""," 44.83 %"," 20.00 %","","","  3.48 %","   .00 %","  -.91 %","  6.25 %","","  8.33 %","   .00 %","","   .00 %"," ##.## %",""," -2.00 %"," ##.## %",""
"2020-05-05","   .00 %","",""," ##.## %",""," ##.## %",""," ##.## %","   .00 %","","  5.04 %"," 38.46 %"," 12.84 %","","","   .00 %","  1.16 %","",""," 34.92 %",""," 30.61 %"," ##.## %",""
"2020-05-06","  5.99 %","  5.26 %","  2.78 %",""," 18.75 %","  2.63 %","  2.38 %","  1.19 %","  1.14 %","","   .80 %","","   .00 %"," 11.76 %"," ##.## %","","  2.30 %","","","  2.35 %","  1.19 %","  1.56 %"," 18.39 %",""
"2020-05-07"," 20.00 %","","  5.41 %","   .00 %","  5.26 %","","","  7.06 %","   .00 %","","  9.52 %","","   .81 %","   .00 %","","","  6.74 %","","   .00 %","  1.15 %","",""," 41.75 %",""
"2020-05-08","  3.99 %","  5.00 %","  2.56 %",""," 20.00 %","",""," 26.37 %","","","  7.97 %"," 27.78 %","","  5.26 %","","","","","   .00 %",""," 21.18 %","","  7.53 %",""
"2020-05-09","","","",""," 20.83 %","","","","  1.12 %",""," 11.41 %","  4.35 %","   .00 %","","","  7.69 %","  1.05 %"," 28.57 %","","","","","",""
"2020-05-10","  2.79 %","","",""," 27.59 %","","","","","","   .00 %","  4.17 %","","   .00 %","  1.79 %","   .00 %","  1.04 %"," ##.## %","  7.37 %","","","","",""
"2020-05-11","   .34 %","","","  2.22 %"," 29.73 %","  2.56 %","  2.33 %","  5.22 %","  1.11 %","","  7.83 %","","  1.61 %"," 60.00 %","  3.51 %","","  1.03 %","  1.89 %","","","","","   .64 %",""
"2020-05-12","   .34 %","","",""," 16.67 %","  2.50 %","","","","","  5.03 %","  4.00 %"," 12.70 %","","","","  1.02 %","","   .00 %","","","","",""
"2020-05-13","   .00 %","","","   .00 %","","","","","  1.10 %","","   .53 %","  3.85 %","  3.52 %","","","","","  3.70 %","   .00 %","","","","",""
"2020-05-14","","","","","","","","","","","  3.70 %","","  2.04 %","   .00 %","","   .00 %","  1.01 %","","","","","","",""
"2020-05-15","  -.34 %","","  2.50 %"," 13.04 %","   .00 %","  7.32 %","","   .83 %","","","   .00 %","","-10.00 %","   .00 %","   .00 %","","   .00 %","  5.36 %","   .00 %","","  -.97 %","","",""
"2020-05-16","  1.35 %","   .00 %","   .00 %","  5.77 %","   .00 %","","   .00 %","   .00 %","   .00 %","","  1.02 %"," 18.52 %","  2.22 %","","   .00 %","   .00 %","   .00 %","  1.69 %","   .00 %","   .00 %","   .00 %","   .00 %"," -2.53 %",""
"2020-05-17","  1.33 %","","   .00 %","  7.27 %","","","","   .00 %","","","   .00 %","","  3.62 %","","  3.39 %","","   .00 %","   .00 %","","","  2.94 %","   .00 %","",""
"2020-05-18","","","","  3.39 %","   .00 %","","","   .82 %","  3.26 %","","  1.01 %","  3.12 %","  4.20 %","","","","","   .00 %","   .00 %","   .00 %","","   .00 %","   .65 %",""
"2020-05-19","   .66 %","","","   .00 %","","   .00 %","","   .81 %","   .00 %","","   .00 %",""," 12.75 %","   .00 %"," -3.28 %","   .00 %","  3.00 %","   .00 %","","   .00 %","  -.95 %","   .00 %","   .00 %",""
"2020-05-20","   .33 %","","","","   .00 %","","","   .81 %","","","   .50 %","","   .00 %","   .00 %","","   .00 %","   .00 %","","","","   .00 %","","",""
"2020-05-21","  1.63 %","  4.76 %","","","","   .00 %","","  3.20 %","  7.37 %","","   .00 %","  3.03 %","  1.19 %","","","  7.14 %","   .97 %","","   .00 %","","","   .00 %","",""
"2020-05-22","   .32 %","","   .00 %","","  1.79 %","","","","","","   .00 %","","   .59 %","   .00 %","","","","   .00 %","","   .00 %","",""," -1.29 %",""
"2020-05-23","  1.28 %","","  2.44 %","   .00 %","   .00 %","","","   .78 %","","","  1.49 %","  2.94 %","   .58 %","","","  3.33 %","  2.88 %","   .00 %","","","","  1.54 %","",""
"2020-05-24","   .32 %","","","   .00 %","","   .00 %","","  1.54 %","  3.92 %","","   .49 %","","   .00 %","   .00 %",""," 22.58 %","   .00 %","","","","   .00 %","","   .00 %",""
"2020-05-25","  3.14 %","","","   .00 %","","","","   .00 %","","","  2.93 %","  2.86 %","","","","","   .93 %","","   .98 %","  1.14 %","   .00 %","","   .65 %",""
"2020-05-26","   .61 %","","","  1.64 %","","","","","  3.77 %","","  4.74 %","","  1.16 %","",""," 13.16 %","   .00 %","","","","   .96 %","","",""
"2020-05-27","  4.85 %","  4.55 %","","","","","","   .76 %","","","","","   .57 %","","","  6.98 %","  6.48 %","","","  2.25 %","","","  1.30 %",""
"2020-05-28","  2.02 %","","","","","","","   .00 %","  3.64 %","","  1.36 %","","","","","","","  1.67 %","   .97 %","  3.30 %","","","",""
"2020-05-29","  3.40 %","","","","","","","  2.26 %","","","  3.57 %","   .00 %","  2.29 %","","  3.39 %"," 10.87 %","   .87 %","  1.64 %","  2.88 %","","","","",""
"2020-05-30","  2.19 %",""," 11.90 %","","  1.75 %","  4.55 %","","   .74 %","  1.75 %","","   .00 %","","   .00 %","",""," 15.69 %","  1.72 %","","  3.74 %","  2.13 %","","   .00 %","   .64 %",""
"2020-05-31","   .80 %","  4.35 %","","","","","","   .00 %","  3.45 %","","  1.72 %","","  5.03 %","","  1.64 %","   .00 %","   .00 %"," 12.90 %","","","   .00 %","","   .00 %",""
"2020-06-01","  2.39 %","","  4.26 %","","  8.62 %"," -4.35 %","  4.55 %","   .73 %","  6.67 %","","   .42 %","","  4.26 %","","","  1.69 %","  3.39 %","","  1.80 %",""," -2.86 %","","",""
"2020-06-02","   .26 %","","","  1.61 %","  1.59 %","","","  1.45 %","   .00 %","","  4.64 %","  5.56 %","  2.04 %","","  3.23 %"," 13.33 %","   .82 %","","","  6.25 %","  1.96 %","","",""
"2020-06-03","   .52 %","   .00 %","  2.04 %","  4.76 %","","","","  2.14 %","  2.34 %","","  1.21 %","","","",""," 10.29 %","  1.63 %","","  6.19 %","","   .96 %","  3.03 %","",""
"2020-06-04","  4.12 %","","  6.00 %","","","  2.27 %","   .00 %","  1.40 %","  2.29 %","","   .80 %","","  2.50 %","","","  5.33 %","","  1.43 %","   .00 %","   .98 %","   .00 %","  1.47 %","",""
"2020-06-05","   .74 %","","  1.89 %","  1.52 %","  1.56 %","","","  2.07 %","","","  3.16 %","  5.26 %","  7.80 %","","  1.56 %","  1.27 %","   .80 %","","  3.33 %","   .97 %","","  1.45 %","  1.27 %",""
"2020-06-06","  6.39 %","  4.17 %","  1.85 %","  2.99 %","  6.15 %","  2.22 %","","   .00 %","","","","","  4.52 %","  6.25 %","  1.54 %","  6.25 %","","","","   .00 %","   .95 %","","",""
"2020-06-07","  8.08 %","  4.00 %","","  4.35 %","  1.45 %","  2.17 %","","  2.03 %","   .75 %","","  8.81 %","","  4.33 %","","","  2.35 %","  5.56 %","","   .81 %","  4.81 %","","","",""
"2020-06-08","  2.56 %","","","  2.78 %","   .00 %","  2.13 %","","   .66 %","","","  4.93 %","","  3.73 %","","  1.52 %","  3.45 %","  3.76 %","","  2.40 %","  1.83 %","  1.89 %","","",""
"2020-06-09","  4.38 %","  3.85 %",""," -1.35 %","   .00 %","","","","   .00 %","","  1.34 %","","  6.00 %","","","  3.33 %","   .72 %","   .00 %","  3.91 %","  4.50 %","   .00 %","  1.43 %","   .63 %",""
"2020-06-10","  2.59 %","  3.70 %","   .00 %"," 17.81 %","  4.29 %","","","  8.55 %","   .00 %","","   .33 %","  2.50 %","  4.15 %","","   .00 %"," 20.43 %","  2.16 %","","  2.26 %","  3.45 %","   .93 %","","   .00 %",""
"2020-06-11","  2.72 %","","  1.82 %","   .00 %","","","","   .61 %","   .00 %","","  1.32 %","","  6.52 %","","  2.99 %"," 16.96 %","  4.23 %","","  2.94 %","  8.33 %","  1.83 %","  1.41 %","",""
"2020-06-12"," 11.93 %","  3.57 %","","","   .00 %","  4.17 %","  2.17 %","   .00 %","  1.48 %","","   .98 %","","  4.08 %","","","   .00 %","   .00 %","  7.04 %","  2.14 %","  3.85 %","  1.80 %","   .00 %","",""
"2020-06-13","  1.52 %","  6.90 %","  1.79 %","","  1.37 %","","  2.13 %","","","","  1.29 %","  2.44 %","  8.50 %","","","  4.58 %","   .68 %","  2.63 %","  7.69 %","  2.22 %","  4.42 %","","  2.50 %",""
