"date","Arunachal Pradesh/Anjaw","Arunachal Pradesh/Changlang","Arunachal Pradesh/East Kameng","Arunachal Pradesh/East Siang","Arunachal Pradesh/Kamle","Arunachal Pradesh/Kra Daadi","Arunachal Pradesh/Kurung Kumey","Arunachal Pradesh/Lepa Rada","Arunachal Pradesh/Lohit","Arunachal Pradesh/Longding","Arunachal Pradesh/Lower Dibang Valley","Arunachal Pradesh/Lower Siang","Arunachal Pradesh/Lower Subansiri","Arunachal Pradesh/Namsai","Arunachal Pradesh/Pakke Kessang","Arunachal Pradesh/Papum Pare","Arunachal Pradesh/Shi Yomi","Arunachal Pradesh/Siang","Arunachal Pradesh/Tawang","Arunachal Pradesh/Tirap","Arunachal Pradesh/Upper Dibang Valley","Arunachal Pradesh/Upper Siang","Arunachal Pradesh/Upper Subansiri","Arunachal Pradesh/West Kameng","Arunachal Pradesh/West Siang"
"2020-04-02","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-24","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-28","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-30","","0","","","","","","","","","","","","","","","","","","","","","","",""
"2020-06-01","","13","","","","","","","-2","","","","","","","1","","","","","","","","",""
"2020-06-02","","","","","","","","","2","","","","","-3","","0","","","","","","","","",""
"2020-06-03","","-5","","","","","","","","","","","","","","","","","","","","","","",""
"2020-06-04","","-6","","","","","","","","","","","","2","","","","","","","","","","",""
"2020-06-05","","0","","","","","","","0","","","","","","","","","","","","","","","",""
"2020-06-06","","-2","","","","","","","","","","","","","","","","","","","","","","",""
"2020-06-07","","2","","","","","","","","","","","","","","","","","","","","","","",""
"2020-06-08","","0","","0","","","","","","","","","","","","","","","","","","","","",""
"2020-06-09","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-06-10","","0","","0","","","","","","","","","","","","","","","","","","","","",""
"2020-06-11","","-1","","","","","","","","","","","","","","","","","","","","","","",""
"2020-06-12","","10","","5","","","","","","","","","","0","","","","","","","","","","",""
"2020-06-13","","-8","","","","","","","","","0","","","","","","","","","","","","","",""
"2020-06-14","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-06-15","","-6","","","","","","","0","","","","","","","-1","","","","0","","","","-2",""
"2020-06-16","","5","","","","","","","","","","","","","","-1","","","","","","","","",""
"2020-06-17","","","","","","","","","","","0","","","","","","","","","0","","","","",""
"2020-06-18","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-06-19","","","","","","","","","0","","","","","","","","","","","","","","","7",""
"2020-06-20","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-06-21","","","","","","","","","","","","","","","","-9","","","","","","","","",""
"2020-06-22","","-4","","","","","","","","","","","","","","","","","","","","","","",""
"2020-06-23","","","","","","","","","","","","","","","","5","","","0","","","","","",""
"2020-06-24","","","","","","","","","","-1","","","","","","-8","","","","","","","","",""
"2020-06-25","","","","","","","","","","","","","","5","","3","","","","","","","","",""
"2020-06-26","","","","","","","","","","","","","","","","-3","","","","","","","","",""
"2020-06-27","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-06-28","","","","","","","","","","","","","","","","2","","","","","","","","",""
"2020-06-29","","2","","","","","","","","","","","","","","-1","","","","","","","","",""
"2020-06-30","","","","","","","","","","","","","","","","","","","","","","","","1",""
"2020-07-01","","","","","","","","","","","","1","","0","","-1","","","","","","","","",""
"2020-07-02","","","","","","","","","","","","","","0","","33","","","","","","","","",""
"2020-07-03","","4","","","","","","","","","","","","","","-28","","","","","","","","",""
"2020-07-04","","","","","","","","","","","","","","","","-5","","","","","","","","",""
"2020-07-05","","-4","","","","","","","","","","","","1","","2","","","","","","","","",""
"2020-07-06","","","","","","","","","","","","","","","","-2","","","","","","","","",""
"2020-07-07","","","","","","","","","","","","","","-1","","4","","","","","","","","",""
"2020-07-08","","","","","","","","","","","","","3","","","0","","","","","","","","",""
"2020-07-09","","6","","","","","","","","","","","0","","","-4","","","","","","","","",""
"2020-07-10","","-4","","","","","","","","","","","","","","27","","","","","","","","",""
"2020-07-11","","","","","","","","","","","","","","","","-23","","","","","","","","0",""
"2020-07-12","","","","","","","","","","","","","","-1","","6","","","","","","","","",""
"2020-07-13","","-6","","","","","","","","","","","","1","","11","","","","","","","","",""
"2020-07-14","","0","","","","","","3","","","","-1","","1","","27","","","","","","","","",""
"2020-07-15","","","","","","","","-3","","","","0","","11","","-37","","","","","","","","",""
"2020-07-16","","","","-5","","","","","","","","","","","","30","","","","","","","2","",""
"2020-07-17","","3","","-5","","","","","","","","0","","-13","","16","","","","","","","","",""
"2020-07-18","","","","","","","","","","","1","9","-3","","","-34","","","","","","","","",""
"2020-07-19","","","","1","","","","-1","","","-2","","","","","46","","","","","","","","",""
"2020-07-20","","","","","","","","","","","","","3","","","-36","","","11","","","","","","-2"
"2020-07-21","","","","","","","","","","","0","","1","-2","","24","","","","","","","","",""
"2020-07-22","","","","12","","","","","","2","2","-9","","4","","-24","","","","12","","-5","","","9"
"2020-07-23","","","","","","","","","","","-2","","","-3","","0","","","","","","","","","-7"
"2020-07-24","","","","","","","","","","","1","","","-3","","19","","","","","","","","-1",""
"2020-07-25","","","","-13","","","","","-1","","","0","","","","-12","","0","-6","1","","","","","-2"
"2020-07-26","","-4","9","-1","","","","","","","","","","","","-36","","","","","","4","","",""
"2020-07-27","","1","","","","","","","-1","","","","","","","46","","","8","-2","","-5","","","1"
"2020-07-28","","9","","","","","","","3","","1","","","","","-23","","","-11","4","","5","","","0"
"2020-07-29","","0","-9","-2","","","","","3","","","0","","4","","-7","","","4","-2","","-5","","-2","6"
"2020-07-30","","-1","0","0","","","","","-6","","-1","","","3","","4","","0","2","-5","","","","",""
"2020-07-31","","21","11","13","","","","","0","","0","0","","2","","-2","","","","0","","","","",""
"2020-08-01","","-37","","-4","","","","","","-3","","3","-7","-9","","15","0","","-4","7","","","","6",""
