"date","Andaman and Nicobar Islands","Andhra Pradesh","Arunachal Pradesh","Assam","Bihar","Chandigarh","Chhattisgarh","Delhi","Goa","Gujarat","Haryana","Himachal Pradesh","Jammu and Kashmir","Jharkhand","Karnataka","Kerala","Lakshadweep","Madhya Pradesh","Maharashtra","Manipur","Meghalaya","Mizoram","Nagaland","Odisha","Puducherry","Punjab","Rajasthan","Sikkim","Tamil Nadu","Telangana","Tripura","Uttar Pradesh","Uttarakhand","West Bengal"
"2020-04-02","","-99.99 %","-99.99 %","","-##.## %","  5.88 %",""," ##.## %","","-##.## %","-99.99 %","-99.98 %","-99.97 %","-##.## %","-##.## %","-99.94 %","","-99.94 %","-99.98 %","-99.99 %","","","",""," ##.## %","-99.99 %","-99.97 %","","-99.97 %","-99.95 %","","-99.99 %","-99.99 %","-99.99 %"
"2020-04-03","","-99.99 %","","-99.99 %","-99.99 %","",""," 37.96 %"," 50.00 %","-99.99 %","-99.99 %","","-99.96 %","","-##.## %","-99.98 %","","-99.94 %","-99.98 %","","","","","-99.99 %","","-99.99 %","-99.96 %","","-99.97 %","-99.93 %","","-99.97 %","-99.99 %",""
"2020-04-04","","-99.94 %","","-99.99 %","-##.## %","","-99.98 %"," 17.46 %"," 33.33 %","-99.89 %","-99.87 %","-99.74 %","-99.79 %","","-99.97 %","-99.35 %","","-99.60 %","-99.88 %","","","","","-##.## %","","-99.85 %","-99.74 %","","-99.90 %","-99.94 %","","-99.86 %","-99.93 %",""
"2020-04-05","","-99.98 %","","","","",""," 14.61 %","","-99.95 %","-99.99 %","-99.98 %","-99.98 %","-##.## %","-##.## %","-99.97 %","","-99.92 %","-99.96 %","","","","","-99.99 %","","-99.99 %","-99.92 %","","-99.94 %","-99.92 %","","-99.97 %","-99.97 %","-99.99 %"
"2020-04-06","","-99.50 %","","","","","","  4.84 %","","-99.81 %","-99.83 %","-99.75 %","-99.84 %","-99.98 %","-99.91 %","-98.68 %","","-99.04 %","-99.78 %","","","","","-99.99 %","","-99.63 %","-99.21 %","","   .00 %","-99.83 %","-99.97 %","-99.80 %","-99.44 %",""
"2020-04-07",""," 26.67 %","","-##.## %"," 62.50 %","",""," 10.69 %",""," ##.## %"," ##.## %"," ##.## %"," ##.## %",""," 58.62 %","  1.98 %",""," 11.83 %"," ##.## %","","","","","-99.99 %",""," ##.## %"," ##.## %",""," 74.86 %"," ##.## %",""," ##.## %",""," ##.## %"
"2020-04-08","   .00 %","-99.98 %","","","-##.## %","",""," 17.61 %","","-99.98 %","-99.94 %","","-99.88 %","","-##.## %","   .00 %","","-99.85 %","-99.95 %","","","","","","","-99.98 %","-99.90 %","","-99.95 %","-99.90 %","","-99.96 %","-99.97 %","-99.99 %"
"2020-04-09","","-99.98 %","","-##.## %","-99.99 %","","-##.## %","  8.21 %","","-99.91 %","-##.## %","-##.## %","-99.97 %","-99.99 %","-99.99 %","-99.97 %","","-99.84 %","-99.93 %","","","","","-99.99 %","","-99.95 %","-99.86 %","","-99.93 %","-99.92 %","","-99.95 %","","-99.99 %"
"2020-04-10","","-99.98 %","","","-99.99 %","  5.56 %",""," 27.23 %","","-99.84 %","-99.99 %","","-99.97 %","-99.99 %","-99.99 %","-99.97 %","","-99.82 %","-99.92 %","","","","","-99.99 %"," 50.00 %","-99.95 %","-99.85 %","","-99.93 %","-99.99 %","-##.## %","-99.96 %","","-99.98 %"
"2020-04-11","","-99.93 %","","","-99.99 %","","-99.91 %"," 19.42 %","","-99.51 %","-99.88 %","-99.51 %","-99.55 %","-99.96 %","-99.97 %","-99.59 %","","-99.13 %","-99.75 %","","","","","-99.94 %","","-99.79 %","-99.26 %","","-99.86 %","-99.71 %","","-99.87 %","","-99.92 %"
"2020-04-12","","-99.97 %","","-##.## %",""," 10.53 %","-##.## %","  8.33 %","","-99.90 %","-99.97 %",""," ##.## %","-99.99 %","   .00 %","   .00 %","","-99.88 %"," ##.## %","","","","","","","-99.97 %","-99.82 %","","-99.92 %","-99.90 %",""," ##.## %","","-99.98 %"
"2020-04-13",""," ##.## %","","-##.## %"," ##.## %","",""," 32.19 %",""," ##.## %","-60.00 %","","-99.84 %","-99.98 %"," ##.## %"," 19.61 %","","-99.71 %"," ##.## %","","-99.99 %","","","-99.99 %",""," ##.## %"," ##.## %",""," ##.## %"," ##.## %",""," ##.## %","","-99.97 %"
"2020-04-14","","-99.95 %","","-##.## %","","","-99.99 %","  3.49 %","","-99.68 %","-99.98 %","-99.94 %","-99.85 %","-99.99 %","-99.99 %","-99.95 %","","-99.63 %","-99.86 %","","","","","-99.98 %","","-99.93 %","-99.68 %","","-99.94 %","-99.87 %","","-99.90 %","-99.99 %","-99.96 %"
"2020-04-15","","-99.97 %","","","-##.## %","","","  1.12 %","","-99.89 %","-99.99 %","-99.99 %","-99.87 %","-##.## %","-99.99 %","-##.## %","","-99.86 %","-99.94 %","","-99.96 %","","","","","-##.## %","-99.89 %","","-99.95 %","-99.93 %","","-99.97 %","","-99.98 %"
"2020-04-16","","-99.98 %","","-##.## %","-99.99 %","","-99.99 %","  4.05 %","","-99.63 %","-99.96 %","","-99.82 %","-##.## %","-99.98 %","-99.97 %","","-99.54 %","-99.84 %","","-99.88 %","","","","","-99.96 %","-99.66 %","","-99.91 %","-99.84 %","","-99.89 %","","-99.96 %"
"2020-04-17","   .00 %","-99.95 %","","","-99.99 %","","","  4.21 %","","-99.56 %","-99.97 %","-99.99 %","-99.89 %","-99.98 %","-99.97 %","-##.## %","","-99.49 %","-99.84 %","","","","","","","-99.96 %","-99.62 %","","-99.92 %","-99.83 %","","-99.93 %","-99.96 %","-99.96 %"
"2020-04-18"," ##.## %","-99.92 %","","","-99.99 %","  9.52 %",""," 11.21 %","","-98.68 %","-99.83 %","-99.95 %","-99.69 %","-99.96 %","-99.93 %","-99.89 %","","-98.15 %","-99.57 %","","-99.52 %","","","-##.## %","","-99.77 %","-98.63 %","","-99.85 %","-99.60 %","","-99.68 %","-99.97 %","-99.84 %"
"2020-04-19"," 33.33 %","-99.93 %","","","-99.98 %"," 13.04 %","","  5.96 %","","-98.60 %","-99.91 %","","-99.60 %","-99.96 %","-99.98 %","-99.82 %","","-99.77 %","-99.65 %","","","","","","","-99.88 %","-98.91 %","","-99.83 %","-99.68 %","","-99.77 %","-99.95 %","-99.87 %"
"2020-04-20"," 25.00 %","-99.91 %","","","-99.98 %","","","  3.99 %","","-98.59 %","-99.98 %","","-99.80 %","-99.95 %","-99.99 %","-99.95 %","","-98.83 %","-99.64 %","","","","","-99.99 %","","-99.95 %","-98.89 %","","-99.86 %","-99.69 %","","-99.74 %","-99.95 %","-99.86 %"
"2020-04-21"," 20.00 %","-99.94 %","","","-99.98 %","  3.85 %","","  3.69 %","","-98.94 %","-99.96 %","","-99.93 %","","-99.98 %","-99.95 %","","-99.31 %","-99.72 %","","-99.89 %","","","-##.## %","","-99.94 %","-99.40 %","","-99.90 %","-99.73 %","","-99.80 %","","-99.92 %"
"2020-04-22"," 16.67 %","-99.92 %","","","-99.97 %","","","  4.36 %","","-98.51 %","-99.95 %","","-99.72 %","","-99.98 %","-99.96 %","","-99.11 %","-99.63 %","","","","","-99.99 %","","-99.90 %","-99.02 %","","-99.90 %","-99.73 %","","-99.72 %","","-99.87 %"
"2020-04-23"," 57.14 %"," ##.## %","","-85.71 %"," ##.## %","","","  5.82 %",""," ##.## %"," ##.## %","-99.99 %"," 67.68 %"," 55.00 %"," 78.72 %"," -6.56 %",""," ##.## %"," ##.## %","","","","","-46.34 %","","-44.34 %"," ##.## %",""," 48.17 %"," 86.32 %",""," ##.## %","-99.97 %"," ##.## %"
"2020-04-24"," 63.64 %","-99.91 %","","","-99.93 %","","","  5.93 %","","-99.04 %","-99.98 %","","-99.77 %","-99.96 %","-99.98 %","-99.98 %","","-99.38 %","-99.75 %","","","","","-99.99 %","","-99.90 %","-99.54 %","","-99.90 %","-99.99 %","","-99.80 %","-99.98 %","-99.91 %"
"2020-04-25"," 22.22 %","-97.67 %","","","-99.21 %","  3.70 %","-99.98 %","  4.50 %","","-93.45 %","-99.61 %","","-96.47 %","-98.99 %","-99.43 %","-98.84 %","","-90.80 %","-97.55 %","","","","","-99.88 %"," 16.67 %","-98.28 %","-93.96 %","","-99.50 %","-98.56 %","","-96.61 %","","-98.40 %"
"2020-04-26","","-99.90 %","","","-99.96 %"," 28.57 %",""," 11.37 %","","-99.02 %","-99.97 %","","-99.70 %","-99.96 %","-##.## %","-##.## %","","-99.38 %","-99.77 %","","","","","-##.## %","","-99.96 %","-99.46 %","","-99.89 %","-99.84 %","","-99.80 %","-##.## %","-99.90 %"
"2020-04-27","","-95.74 %","","","-98.24 %"," 25.00 %","","  6.62 %","","-91.08 %","-98.97 %","-98.06 %","-94.25 %","-97.31 %","-98.92 %","-96.59 %","","-87.43 %","-96.22 %","","","","","-98.93 %","   .00 %","-96.42 %","-89.94 %","","-99.21 %","-97.97 %","","-95.09 %","","-97.45 %"
"2020-04-28","   .00 %","-99.88 %","","-##.## %","-99.90 %"," 24.44 %","-99.99 %","  6.73 %","","-98.40 %","-99.92 %","","-99.58 %","-99.91 %","-99.97 %","-99.97 %","","-98.97 %","-99.53 %","","","","","-99.98 %","","-99.90 %","-99.21 %","","-99.87 %","-99.81 %","","-99.69 %","-99.96 %","-99.87 %"
"2020-04-29",""," 43.47 %","","-##.## %"," 56.73 %"," 21.43 %","","  3.83 %",""," 28.22 %"," 66.67 %","","-12.40 %"," 38.60 %"," ##.## %"," ##.## %",""," 28.07 %"," 22.65 %","","","",""," ##.## %",""," ##.## %"," 14.61 %",""," 92.69 %","-92.32 %",""," 23.67 %"," ##.## %"," 19.52 %"
"2020-04-30","   .00 %","-98.81 %","","-99.97 %","-99.31 %","  8.82 %","-99.61 %","  2.24 %","","-92.57 %","-99.37 %","-98.66 %","-97.80 %","-99.13 %","-99.64 %","-98.30 %","","-91.45 %","-97.42 %","","","","","-99.77 %","","-97.12 %","-94.29 %","","-99.17 %","-98.91 %","-99.95 %","-97.53 %","-99.19 %","-98.83 %"
"2020-05-01","","-99.50 %","","-99.99 %","-99.71 %"," 18.92 %","-99.96 %","  6.43 %","","-94.07 %","-99.44 %","","-97.96 %","-99.57 %","-99.80 %","-99.34 %","","-93.99 %","-98.11 %","","-99.04 %","","","-99.76 %","","-98.45 %","-95.87 %","","-99.37 %","-99.28 %","","-98.69 %","-99.78 %","-99.32 %"
"2020-05-02","   .00 %","-99.69 %","","","-99.76 %","  6.82 %",""," 10.51 %","","-95.18 %","-99.76 %","-99.68 %","-98.65 %","-99.99 %","-99.91 %","-99.86 %","","-96.33 %","-98.63 %","","","","","-99.92 %"," 28.57 %","-98.91 %","-97.29 %","","-99.48 %","-99.37 %","-99.99 %","-99.14 %","-99.88 %","-99.50 %"
"2020-05-03","   .00 %"," ##.## %","","","-98.76 %","  3.19 %","-99.70 %"," 10.37 %",""," ##.## %"," ##.## %"," ##.## %"," ##.## %"," ##.## %"," ##.## %"," 21.84 %",""," ##.## %"," ##.## %","","","",""," ##.## %","-22.22 %"," ##.## %"," ##.## %",""," ##.## %"," ##.## %"," ##.## %"," ##.## %","-66.67 %","-97.30 %"
"2020-05-04",""," ##.## %","",""," ##.## %","  5.15 %","-##.## %","  7.75 %",""," ##.## %"," ##.## %","-99.99 %"," ##.## %",""," ##.## %"," ##.## %",""," ##.## %"," ##.## %","","","",""," ##.## %",""," ##.## %"," ##.## %",""," ##.## %"," 19.49 %","-99.89 %"," ##.## %",""," ##.## %"
"2020-05-05","","-99.83 %","","-##.## %","-99.90 %"," 16.67 %","-##.## %","  4.25 %","","-98.48 %","-99.90 %","-##.## %","-99.55 %","-99.94 %","-99.96 %","-##.## %","","-99.31 %","-99.61 %","","","   .00 %","","-99.96 %","","-99.63 %","-99.29 %","","-99.62 %","-99.98 %","-99.88 %","-99.70 %","-99.97 %","-99.84 %"
"2020-05-06","","-99.81 %","","-99.99 %","-99.95 %","  4.20 %","","  8.52 %","","-96.98 %","-99.82 %","-99.99 %","-99.57 %","-99.91 %","-99.96 %","-99.99 %","","-98.63 %","-99.10 %","","","","","-99.96 %","","-99.14 %","-98.93 %","","-99.44 %","-99.72 %","-99.79 %","-99.55 %","","-99.79 %"
"2020-05-07","   .00 %","-99.78 %","","-99.99 %","-99.79 %","  8.87 %","","  8.11 %","","-95.13 %","-99.69 %","-99.94 %","-99.08 %","-99.98 %","-99.91 %","-99.87 %","","-97.73 %","-98.76 %","","","","","-99.95 %","","-98.91 %","-98.02 %","","-99.22 %","-99.56 %","-99.70 %","-99.40 %","","-99.57 %"
"2020-05-08","","-99.76 %","","-99.99 %","-99.81 %","  8.15 %","-99.99 %","  5.70 %","","-95.27 %","-99.66 %","-99.82 %","-99.25 %","-99.97 %","-99.95 %","-99.96 %","","-97.88 %","-98.77 %","","","","","-99.95 %"," 42.86 %","-99.17 %","-98.07 %","","-99.22 %","-99.61 %","-99.64 %","-99.32 %","-99.92 %","-99.57 %"
"2020-05-09","","-99.81 %","","-99.99 %","-99.77 %"," 15.75 %","-99.99 %","  3.57 %","","-97.16 %","-99.82 %","-99.98 %","-99.58 %","-99.88 %","-99.94 %","-99.99 %","","-98.74 %","-99.22 %","","-99.85 %","","","-99.91 %","","-99.73 %","-98.91 %","","-99.31 %","-99.70 %","-98.95 %","-99.50 %","-99.96 %","-99.74 %"
"2020-05-10","","-99.69 %","","-##.## %","-99.63 %","  2.37 %","-99.99 %","  5.87 %","","-93.18 %","-99.64 %","-99.81 %","-98.98 %","-99.99 %","-99.87 %","-99.72 %","","-96.69 %","-98.06 %","","","","","-99.86 %","   .00 %","-99.02 %","-96.84 %","","-98.75 %","-99.58 %","-99.28 %","-99.12 %","-99.92 %","-99.29 %"
