"date","Massachusetts/Barnstable","Massachusetts/Berkshire","Massachusetts/Bristol","Massachusetts/Brockton","Massachusetts/Dukes","Massachusetts/Dukes and Nantucket","Massachusetts/Essex","Massachusetts/Franklin","Massachusetts/Hampden","Massachusetts/Hampshire","Massachusetts/Middlesex","Massachusetts/Nantucket","Massachusetts/Norfolk","Massachusetts/Plymouth","Massachusetts/Suffolk","Massachusetts/Unassigned","Massachusetts/Worcester"
"2020-03-22","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-03-23","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %"
"2020-03-24","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 28.57 %","   .00 %"
"2020-03-25","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-03-26","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %"," ##.## %","   .00 %"," ##.## %","   .00 %"," 50.00 %"
"2020-03-27"," ##.## %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %","   .00 %"," 25.00 %","   .00 %"," ##.## %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-03-28","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %"," 50.00 %","   .00 %"," ##.## %","   .00 %","   .00 %","   .00 %"," 33.33 %","   .00 %"," 50.00 %","   .00 %"," 66.67 %"
"2020-03-29","   .00 %"," 50.00 %","   .00 %","","   .00 %","   .00 %"," 33.33 %","   .00 %","   .00 %","   .00 %"," 20.00 %","   .00 %"," 12.50 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-03-30","   .00 %","   .00 %"," ##.## %","","   .00 %","   .00 %"," 50.00 %","   .00 %","   .00 %","   .00 %"," 33.33 %","   .00 %"," 11.11 %","   .00 %"," 66.67 %","   .00 %","   .00 %"
"2020-03-31","   .00 %"," 33.33 %","   .00 %","","","   .00 %"," ##.## %"," ##.## %"," ##.## %","   .00 %"," ##.## %",""," 20.00 %","   .00 %"," 20.00 %","   .00 %"," 40.00 %"
"2020-04-01"," 50.00 %","   .00 %"," 50.00 %","","","   .00 %"," 41.67 %"," 75.00 %"," 45.45 %","   .00 %"," 17.65 %",""," 25.00 %"," ##.## %"," ##.## %","   .00 %"," 28.57 %"
"2020-04-02","   .00 %"," 25.00 %","   .00 %","","","   .00 %","  5.88 %"," 14.29 %"," 18.75 %"," ##.## %"," 40.00 %",""," 40.00 %"," 20.00 %"," 46.15 %","   .00 %"," 44.44 %"
"2020-04-03"," ##.## %","   .00 %"," 33.33 %","","","   .00 %"," 27.78 %"," 37.50 %"," 42.11 %"," 50.00 %"," 35.71 %",""," 14.29 %"," 16.67 %"," 10.53 %","   .00 %","  7.69 %"
"2020-04-04","   .00 %"," 60.00 %"," 25.00 %","","","   .00 %","  8.70 %","  9.09 %"," 25.93 %","   .00 %","   .00 %","","  4.17 %"," 14.29 %"," 23.81 %","   .00 %"," 21.43 %"
"2020-04-05","   .00 %"," 37.50 %"," 60.00 %","","","   .00 %","  8.00 %","   .00 %","   .00 %","   .00 %","  7.89 %","","  4.00 %"," 25.00 %","  3.85 %","   .00 %","   .00 %"
"2020-04-06"," 16.67 %","   .00 %","   .00 %","","","   .00 %","  7.41 %","  8.33 %"," 11.76 %","   .00 %"," 14.63 %",""," 11.54 %"," 50.00 %"," 14.81 %"," 11.11 %","  5.88 %"
"2020-04-07"," 42.86 %"," 45.45 %"," ##.## %","","","   .00 %"," 20.69 %"," 30.77 %"," 44.74 %","   .00 %"," 44.68 %",""," 20.69 %"," 73.33 %"," 29.03 %"," 10.00 %"," 27.78 %"
"2020-04-08"," 10.00 %"," 12.50 %"," 43.75 %","","","   .00 %"," 42.86 %"," 23.53 %"," 12.73 %","   .00 %"," 17.65 %",""," 17.14 %"," 26.92 %"," 20.00 %"," 18.18 %"," 26.09 %"
"2020-04-09","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %"
"2020-04-10","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %"
"2020-04-11"," 36.36 %"," 11.11 %"," 69.57 %","","","   .00 %"," 82.00 %","  9.52 %"," 48.39 %"," 66.67 %"," 71.25 %",""," 92.68 %"," 54.55 %"," 64.58 %","-92.74 %"," 41.38 %"
"2020-04-12","  6.67 %","   .00 %"," 10.26 %","","","   .00 %"," 10.99 %","  8.70 %"," 10.87 %"," 20.00 %","  8.76 %",""," 15.19 %","  7.84 %","  8.86 %"," -7.69 %"," 19.51 %"
