"date","Michigan/Alcona","Michigan/Alger","Michigan/Allegan","Michigan/Alpena","Michigan/Antrim","Michigan/Arenac","Michigan/Baraga","Michigan/Barry","Michigan/Bay","Michigan/Benzie","Michigan/Berrien","Michigan/Branch","Michigan/Calhoun","Michigan/Cass","Michigan/Charlevoix","Michigan/Cheboygan","Michigan/Chippewa","Michigan/Clare","Michigan/Clinton","Michigan/Crawford","Michigan/Delta","Michigan/Dickinson","Michigan/Eaton","Michigan/Emmet","Michigan/Federal Correctional Institution (FCI)","Michigan/Genesee","Michigan/Gladwin","Michigan/Gogebic","Michigan/Grand Traverse","Michigan/Gratiot","Michigan/Hillsdale","Michigan/Houghton","Michigan/Huron","Michigan/Ingham","Michigan/Ionia","Michigan/Iosco","Michigan/Iron","Michigan/Isabella","Michigan/Jackson","Michigan/Kalamazoo","Michigan/Kalkaska","Michigan/Kent","Michigan/Keweenaw","Michigan/Lake","Michigan/Lapeer","Michigan/Leelanau","Michigan/Lenawee","Michigan/Livingston","Michigan/Luce","Michigan/Mackinac","Michigan/Macomb","Michigan/Manistee","Michigan/Marquette","Michigan/Mason","Michigan/Mecosta","Michigan/Menominee","Michigan/Michigan Department of Corrections (MDOC)","Michigan/Midland","Michigan/Missaukee","Michigan/Monroe","Michigan/Montcalm","Michigan/Montmorency","Michigan/Muskegon","Michigan/Newaygo","Michigan/Oakland","Michigan/Oceana","Michigan/Ogemaw","Michigan/Ontonagon","Michigan/Osceola","Michigan/Oscoda","Michigan/Otsego","Michigan/Ottawa","Michigan/Out of MI","Michigan/Presque Isle","Michigan/Roscommon","Michigan/Saginaw","Michigan/Sanilac","Michigan/Schoolcraft","Michigan/Shiawassee","Michigan/St. Clair","Michigan/St. Joseph","Michigan/Tuscola","Michigan/Unassigned","Michigan/Van Buren","Michigan/Washtenaw","Michigan/Wayne","Michigan/Wexford"
"2020-03-22","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-03-23","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %"," 66.67 %","   .00 %"," 50.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %",""," 64.29 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  9.09 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 27.27 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 12.50 %","   .00 %","   .00 %"," 25.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %"," 16.67 %","   .00 %","   .00 %","   .00 %","   .00 %"," 18.77 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %"," 83.33 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %"," 20.00 %"," 33.75 %","   .00 %"
"2020-03-24","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 60.00 %","   .00 %"," 33.33 %","   .00 %"," 50.00 %","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %","   .00 %","   .00 %"," 50.00 %"," ##.## %",""," 47.83 %"," ##.## %","   .00 %"," ##.## %","   .00 %","   .00 %","   .00 %","   .00 %"," 25.00 %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %","   .00 %"," 10.71 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 44.44 %","   .00 %","   .00 %"," 28.57 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %"," 71.43 %","   .00 %","   .00 %"," ##.## %"," ##.## %"," 30.09 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 66.67 %"," 36.36 %"," 50.00 %","   .00 %","   .00 %"," ##.## %","   .00 %","   .00 %","   .00 %"," 14.29 %","   .00 %","   .00 %","","   .00 %"," 19.05 %"," 37.30 %","   .00 %"
"2020-03-25","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 50.00 %","   .00 %"," 25.00 %","   .00 %"," 50.00 %","   .00 %"," 33.33 %","   .00 %","   .00 %","   .00 %"," 20.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %",""," 35.29 %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %","   .00 %"," 20.00 %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %"," 66.67 %"," ##.## %"," 16.13 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 23.08 %","   .00 %","   .00 %"," 24.89 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %",""," 20.00 %","   .00 %"," 50.00 %"," ##.## %","   .00 %","   .00 %","   .00 %"," 26.87 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 20.00 %","  6.67 %"," 16.67 %","   .00 %","   .00 %"," 12.50 %","   .00 %","   .00 %","   .00 %"," 25.00 %","   .00 %"," ##.## %","","   .00 %"," 44.00 %"," 28.08 %","   .00 %"
"2020-03-26","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 33.33 %","   .00 %"," 10.00 %","   .00 %"," 16.67 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 16.67 %","   .00 %","   .00 %","   .00 %"," 33.33 %","   .00 %",""," 36.96 %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %","   .00 %"," 22.22 %","   .00 %","   .00 %","   .00 %"," 50.00 %"," 41.67 %"," ##.## %","   .00 %"," 13.89 %","   .00 %","   .00 %"," ##.## %","   .00 %"," 66.67 %"," 31.25 %","-##.## %","   .00 %"," 23.49 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %"," 16.67 %"," 50.00 %","   .00 %","   .00 %","   .00 %"," 23.02 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 16.67 %"," 12.50 %","   .00 %","   .00 %","   .00 %"," 11.11 %","-50.00 %","   .00 %","   .00 %"," 30.00 %","   .00 %","   .00 %","","   .00 %"," 27.78 %"," 23.80 %","   .00 %"
"2020-03-27","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 63.64 %","   .00 %"," 28.57 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 14.29 %","   .00 %","   .00 %","   .00 %"," ##.## %"," 50.00 %",""," 44.44 %","   .00 %","   .00 %","   .00 %","   .00 %"," 20.00 %","   .00 %","   .00 %"," 18.18 %","   .00 %","   .00 %","   .00 %"," 33.33 %"," -5.88 %"," 10.00 %"," ##.## %","  9.76 %","   .00 %","   .00 %"," 33.33 %","   .00 %"," 60.00 %"," 47.62 %","   .00 %","   .00 %"," 16.43 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %",""," 33.33 %","   .00 %"," 33.33 %","   .00 %","   .00 %"," ##.## %","-50.00 %"," 23.35 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 16.67 %"," 14.29 %","   .00 %","   .00 %"," 40.00 %"," ##.## %","   .00 %"," ##.## %"," 15.38 %","   .00 %","   .00 %",""," 50.00 %"," 63.04 %"," 30.31 %","   .00 %"
"2020-03-28","   .00 %","   .00 %"," ##.## %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 22.22 %","   .00 %"," 22.22 %"," ##.## %","   .00 %","   .00 %","-##.## %","   .00 %"," 62.50 %","   .00 %","   .00 %","   .00 %","   .00 %"," 33.33 %",""," 20.88 %","   .00 %","   .00 %"," 66.67 %"," ##.## %"," 16.67 %","   .00 %","   .00 %"," 23.08 %","   .00 %","   .00 %","   .00 %","   .00 %"," 25.00 %"," 36.36 %","   .00 %"," 17.78 %","   .00 %","   .00 %","   .00 %","   .00 %"," 37.50 %"," 32.26 %","   .00 %","   .00 %"," 32.18 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %"," 21.43 %","   .00 %","   .00 %"," 16.67 %","   .00 %"," 23.54 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %","  9.52 %"," 87.50 %","   .00 %","   .00 %"," 35.71 %","   .00 %","   .00 %","   .00 %","  6.67 %","   .00 %"," ##.## %","   .00 %"," 33.33 %"," 23.33 %"," 27.96 %","   .00 %"
"2020-03-29","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 25.00 %","   .00 %"," 31.82 %","   .00 %"," 36.36 %"," ##.## %","   .00 %","   .00 %","   .00 %","   .00 %","  7.69 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %",""," 15.45 %"," 50.00 %","   .00 %"," 20.00 %"," 50.00 %"," 42.86 %","   .00 %"," ##.## %"," 34.38 %","   .00 %","   .00 %","   .00 %","   .00 %"," 20.00 %"," 26.67 %","   .00 %"," 35.85 %","   .00 %","   .00 %","   .00 %","   .00 %"," 36.36 %"," 43.90 %","   .00 %","   .00 %"," 16.10 %","   .00 %"," ##.## %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %"," 11.76 %","   .00 %","   .00 %"," 85.71 %","   .00 %"," 14.93 %"," ##.## %","   .00 %","   .00 %"," ##.## %","   .00 %"," 21.43 %","  8.70 %"," 20.00 %","   .00 %","   .00 %"," 26.32 %","   .00 %","   .00 %"," ##.## %"," 25.00 %","   .00 %","   .00 %"," 63.83 %","   .00 %"," 25.95 %"," 16.75 %","   .00 %"
"2020-03-30","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 80.00 %","   .00 %"," 10.34 %","   .00 %"," 13.33 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 35.71 %","   .00 %","   .00 %","   .00 %"," 87.50 %","   .00 %",""," 18.11 %","-33.33 %","   .00 %"," 16.67 %","   .00 %"," 20.00 %","   .00 %","   .00 %"," 69.77 %"," ##.## %","   .00 %","   .00 %"," 25.00 %"," 54.17 %"," 26.32 %"," 25.00 %"," 33.33 %","   .00 %","   .00 %"," 50.00 %","   .00 %","   .00 %","  8.47 %","   .00 %","   .00 %"," 17.42 %","   .00 %"," 50.00 %","   .00 %"," ##.## %","   .00 %",""," 12.50 %","   .00 %"," 18.42 %"," 33.33 %","   .00 %"," 38.46 %","   .00 %"," 16.67 %","   .00 %"," ##.## %","   .00 %","   .00 %","   .00 %","   .00 %"," 12.00 %"," -5.56 %","   .00 %","   .00 %"," 50.00 %"," ##.## %","   .00 %"," 60.00 %"," 25.00 %","   .00 %"," 25.00 %","  1.30 %","   .00 %"," 14.16 %"," 18.16 %"," ##.## %"
"2020-03-31","",""," 50.00 %",""," 50.00 %","   .00 %",""," ##.## %","   .00 %","","  9.38 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 26.32 %","   .00 %","   .00 %","   .00 %"," 40.00 %"," 25.00 %",""," 23.33 %","   .00 %"," ##.## %","   .00 %","   .00 %"," 16.67 %","   .00 %","   .00 %"," 24.66 %","   .00 %","   .00 %",""," 20.00 %"," 27.03 %","   .00 %"," 40.00 %"," 12.50 %","",""," 33.33 %","   .00 %"," 20.00 %"," 25.00 %","",""," 17.17 %","   .00 %"," 33.33 %",""," 50.00 %","",""," 11.11 %","   .00 %","  8.89 %"," 25.00 %","","   .00 %","   .00 %"," 16.56 %","   .00 %","-75.00 %","","   .00 %","   .00 %"," 11.76 %"," 10.71 %"," 17.65 %","","   .00 %"," 41.67 %"," 40.00 %","   .00 %","   .00 %"," 28.00 %"," 33.33 %"," 80.00 %"," 19.23 %"," 75.00 %"," 14.66 %"," 16.90 %","   .00 %"
"2020-04-01","",""," 66.67 %",""," 33.33 %","   .00 %","","   .00 %"," 11.11 %","","  8.57 %","   .00 %"," 35.29 %"," 50.00 %","   .00 %"," ##.## %","   .00 %","   .00 %"," 37.50 %","   .00 %"," ##.## %","   .00 %"," 28.57 %"," 40.00 %",""," 34.59 %","   .00 %","   .00 %"," 14.29 %","   .00 %"," 35.71 %","   .00 %","   .00 %"," 32.97 %"," 50.00 %","   .00 %",""," 16.67 %"," 19.15 %"," 25.00 %","   .00 %"," 10.19 %","","","   .00 %","   .00 %"," 22.22 %"," 27.50 %","","   .00 %"," 27.55 %","   .00 %","   .00 %","","   .00 %","",""," 20.00 %","   .00 %"," 18.37 %"," ##.## %","","   .00 %","   .00 %"," 20.05 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %","","   .00 %"," 39.22 %","   .00 %","-##.## %"," 37.50 %"," 28.12 %"," 25.00 %"," 22.22 %"," 52.69 %"," 42.86 %"," 31.48 %"," 19.68 %","   .00 %"
"2020-04-02","","","   .00 %","","   .00 %","   .00 %",""," ##.## %"," 60.00 %","","  5.26 %"," ##.## %","  8.70 %","   .00 %"," 25.00 %"," 50.00 %","   .00 %","   .00 %"," 30.30 %","   .00 %"," 33.33 %","   .00 %"," 37.04 %","-14.29 %",""," 40.16 %","   .00 %"," 50.00 %"," 12.50 %"," 66.67 %"," 26.32 %","   .00 %"," 33.33 %","  5.79 %","-16.67 %","   .00 %",""," 14.29 %"," 19.64 %"," 13.33 %","   .00 %","  5.04 %","",""," ##.## %","   .00 %","  9.09 %"," 10.78 %","","   .00 %"," 22.43 %","   .00 %"," 25.00 %","","   .00 %","",""," 25.00 %","   .00 %"," 36.21 %","   .00 %",""," 44.44 %"," ##.## %"," 14.29 %","   .00 %"," ##.## %",""," 50.00 %","   .00 %","   .00 %"," 12.90 %"," 14.29 %","","   .00 %"," 15.49 %"," 14.29 %","   .00 %"," 54.55 %"," 29.27 %"," 60.00 %"," 27.27 %"," 25.35 %"," 20.00 %","  9.23 %"," 13.40 %"," 50.00 %"
"2020-04-03","",""," 20.00 %","","   .00 %"," ##.## %",""," 25.00 %"," 12.50 %",""," 30.00 %"," 20.00 %"," 24.00 %","   .00 %","   .00 %"," ##.## %","   .00 %"," ##.## %"," 13.95 %","   .00 %"," 25.00 %","   .00 %"," 27.03 %","   .00 %",""," 20.92 %","   .00 %","   .00 %"," 22.22 %","   .00 %","  8.33 %","   .00 %","   .00 %"," 18.75 %"," 20.00 %","   .00 %",""," 12.50 %","  2.99 %"," 17.65 %"," 14.29 %","  8.80 %","","","  4.76 %","   .00 %","   .00 %","  7.08 %","   .00 %"," ##.## %"," 17.12 %","   .00 %"," 40.00 %",""," 33.33 %","","","  6.67 %","   .00 %"," 20.25 %"," 20.00 %",""," 15.38 %","   .00 %"," 16.35 %"," 50.00 %","   .00 %","","   .00 %","   .00 %","  5.26 %","  5.71 %"," 54.17 %","   .00 %"," ##.## %","  9.76 %"," 25.00 %","","  5.88 %"," 24.53 %"," 25.00 %","  7.14 %"," 20.79 %","   .00 %","  8.90 %"," 20.26 %"," 33.33 %"
"2020-04-04","",""," 66.67 %","","   .00 %"," 50.00 %","","   .00 %"," 33.33 %","","  7.69 %"," 66.67 %","  9.68 %","   .00 %"," 40.00 %"," 16.67 %","   .00 %","-50.00 %"," 10.20 %","   .00 %","   .00 %","   .00 %"," 12.77 %"," 16.67 %","","  9.95 %"," 50.00 %","   .00 %","  9.09 %","-20.00 %"," 42.31 %"," ##.## %","   .00 %"," 10.53 %","   .00 %"," ##.## %",""," 11.11 %"," 17.39 %"," 12.50 %","   .00 %"," 12.50 %","",""," 22.73 %","   .00 %"," 12.50 %","  6.61 %","   .00 %","   .00 %"," 17.82 %"," ##.## %"," 57.14 %","","   .00 %","","","  6.25 %","   .00 %","  6.32 %","  8.33 %","","  3.33 %","   .00 %","  9.65 %","   .00 %","   .00 %",""," 33.33 %","   .00 %"," 10.00 %","  5.41 %"," 12.16 %","","   .00 %"," 14.44 %"," 30.00 %",""," 22.22 %"," 28.79 %","-10.00 %"," 33.33 %"," 17.21 %","   .00 %","  5.03 %"," 10.93 %","   .00 %"
"2020-04-05","",""," 40.00 %","","   .00 %","   .00 %",""," 20.00 %"," 25.00 %","   .00 %","  3.57 %"," 30.00 %"," 23.53 %"," 16.67 %","   .00 %"," 14.29 %"," ##.## %","   .00 %","  1.85 %","   .00 %"," 40.00 %","   .00 %","  3.77 %"," 85.71 %","","  8.62 %"," 33.33 %","   .00 %","   .00 %","   .00 %"," 18.92 %","-50.00 %","   .00 %","  2.38 %"," 33.33 %"," 50.00 %",""," 20.00 %"," 11.11 %"," 17.78 %","   .00 %","  7.84 %","",""," 66.67 %","   .00 %"," 14.81 %","  4.65 %","   .00 %","   .00 %","  8.98 %","   .00 %"," 27.27 %",""," 50.00 %","","","  5.88 %","   .00 %","  6.93 %","  7.69 %","","   .00 %","   .00 %","  8.98 %","   .00 %"," 50.00 %","   .00 %","-25.00 %","   .00 %","  9.09 %"," 12.82 %","   .00 %","-##.## %"," ##.## %"," 14.56 %","   .00 %","   .00 %","  4.55 %"," 10.59 %"," 11.11 %"," 10.00 %"," 38.49 %"," 16.67 %","  3.39 %"," 11.18 %"," 25.00 %"
"2020-04-06","","","  7.14 %",""," 25.00 %","   .00 %",""," 16.67 %","   .00 %","-##.## %","  3.45 %"," 15.38 %"," -2.38 %","   .00 %"," 14.29 %","   .00 %","-50.00 %"," ##.## %","  1.82 %"," ##.## %","   .00 %"," ##.## %","  3.64 %","   .00 %",""," 12.70 %","   .00 %","   .00 %"," 16.67 %"," 25.00 %","  4.55 %","   .00 %","   .00 %","  3.49 %","   .00 %","   .00 %",""," 33.33 %"," 14.44 %","  9.43 %","   .00 %","  7.27 %","","","  8.89 %"," ##.## %","  3.23 %","  5.93 %","   .00 %","   .00 %","  7.79 %"," 50.00 %","  7.14 %","","   .00 %","",""," 22.22 %","   .00 %","  8.33 %","  7.14 %","","  6.45 %","   .00 %"," 11.37 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  8.33 %","   .00 %","  9.64 %","   .00 %","   .00 %"," 17.80 %","  7.69 %","   .00 %","  4.35 %"," 17.02 %"," 10.00 %","   .00 %","  6.30 %"," 14.29 %","  4.05 %"," 10.00 %","   .00 %"
