"date","Maharashtra/Ahmednagar","Maharashtra/Akola","Maharashtra/Amravati","Maharashtra/Aurangabad","Maharashtra/Beed","Maharashtra/Bhandara","Maharashtra/Buldhana","Maharashtra/Chandrapur","Maharashtra/Dhule","Maharashtra/Gadchiroli","Maharashtra/Gondia","Maharashtra/Hingoli","Maharashtra/Jalgaon","Maharashtra/Jalna","Maharashtra/Kolhapur","Maharashtra/Latur","Maharashtra/Mumbai","Maharashtra/Nagpur","Maharashtra/Nanded","Maharashtra/Nandurbar","Maharashtra/Nashik","Maharashtra/Osmanabad","Maharashtra/Other State","Maharashtra/Other State ","Maharashtra/Palghar","Maharashtra/Parbhani","Maharashtra/Pune","Maharashtra/Raigad","Maharashtra/Ratnagiri","Maharashtra/Sangli","Maharashtra/Satara","Maharashtra/Sindhudurg","Maharashtra/Solapur","Maharashtra/Thane","Maharashtra/Unknown","Maharashtra/Wardha","Maharashtra/Washim","Maharashtra/Yavatmal"
"2020-03-09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-10","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","",""
"2020-03-11","","","","","","","","","","","","","","","","","2","1","","","","","","","","","6","","","","","","","","","","",""
"2020-03-12","","","","","","","","","","","","","","","","","3","","","","","","","","","","7","","","","","","","","","","",""
"2020-03-13","","","","","","","","","","","","","","","","","","3","","","","","","","","","8","","","","","","","","","","",""
"2020-03-14","1","","","","","","","","","","","","","","","","4","4","","","","","","","","","","1","","","","","","3","","","","2"
"2020-03-15","","","","1","","","","","","","","","","","","","","","","","","","","","","","13","","","","","","","","","","",""
"2020-03-16","","","","","","","","","","","","","","","","","5","","","","","","","","","","14","","","","","","","5","","","","3"
"2020-03-17","","","","","","","","","","","","","","","","","6","","","","","","","","","","15","","","","","","","","","","",""
"2020-03-18","","","","","","","","","","","","","","","","","7","","","","","","","","","","17","","1","","","","","","","","",""
"2020-03-19","2","","","","","","","","","","","","","","","","8","","","","","","","","","","","","","","","","","6","","","",""
"2020-03-20","","","","","","","","","","","","","","","","","10","","","","","","","","","","19","","","","","","","","","","",""
"2020-03-21","","","","","","","","","","","","","","","","","17","","","","","","","","","","21","","","","","","","7","","","","4"
"2020-03-22","","","","","","","","","","","","","","","","","22","","","","","","","","","","25","","","","","","","8","","","",""
"2020-03-23","","","","","","","","","","","","","","","","","33","","","","","","","","1","","26","","","","","","","10","","","",""
