"date","Tennessee/Anderson","Tennessee/Bedford","Tennessee/Benton","Tennessee/Bledsoe","Tennessee/Blount","Tennessee/Bradley","Tennessee/Campbell","Tennessee/Cannon","Tennessee/Carroll","Tennessee/Carter","Tennessee/Cheatham","Tennessee/Chester","Tennessee/Claiborne","Tennessee/Clay","Tennessee/Cocke","Tennessee/Coffee","Tennessee/Crockett","Tennessee/Cumberland","Tennessee/Davidson","Tennessee/DeKalb","Tennessee/Decatur","Tennessee/Dickson","Tennessee/Dyer","Tennessee/Fayette","Tennessee/Fentress","Tennessee/Franklin","Tennessee/Gibson","Tennessee/Giles","Tennessee/Grainger","Tennessee/Greene","Tennessee/Grundy","Tennessee/Hamblen","Tennessee/Hamilton","Tennessee/Hancock","Tennessee/Hardeman","Tennessee/Hardin","Tennessee/Hawkins","Tennessee/Haywood","Tennessee/Henderson","Tennessee/Henry","Tennessee/Hickman","Tennessee/Houston","Tennessee/Humphreys","Tennessee/Jackson","Tennessee/Jefferson","Tennessee/Johnson","Tennessee/Knox","Tennessee/Lake","Tennessee/Lauderdale","Tennessee/Lawrence","Tennessee/Lewis","Tennessee/Lincoln","Tennessee/Loudon","Tennessee/Macon","Tennessee/Madison","Tennessee/Marion","Tennessee/Marshall","Tennessee/Maury","Tennessee/McMinn","Tennessee/McNairy","Tennessee/Meigs","Tennessee/Monroe","Tennessee/Montgomery","Tennessee/Moore","Tennessee/Morgan","Tennessee/Obion","Tennessee/Out of TN","Tennessee/Out-of-state","Tennessee/Overton","Tennessee/Perry","Tennessee/Pickett","Tennessee/Polk","Tennessee/Putnam","Tennessee/Rhea","Tennessee/Roane","Tennessee/Robertson","Tennessee/Rutherford","Tennessee/Scott","Tennessee/Sequatchie","Tennessee/Sevier","Tennessee/Shelby","Tennessee/Smith","Tennessee/Stewart","Tennessee/Sullivan","Tennessee/Sumner","Tennessee/Tipton","Tennessee/Trousdale","Tennessee/Unassigned","Tennessee/Unicoi","Tennessee/Union","Tennessee/Unknown","Tennessee/Van Buren","Tennessee/Warren","Tennessee/Washington","Tennessee/Wayne","Tennessee/Weakley","Tennessee/White","Tennessee/Williamson","Tennessee/Wilson"
"2020-03-22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0"
"2020-03-23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0"
"2020-03-24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0"
"2020-03-25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0"
"2020-03-26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0"
"2020-03-27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","","0","0","0","0","0","0","0","0"
"2020-03-28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","","0","0","0","0","0","0","0","0"
"2020-03-29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","4","0","0","","0","0","0","0","0","0","0","0"
"2020-03-30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","4","0","0","4","0","0","","0","0","0","0","0","0","0","0"
"2020-03-31","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","","0","3","0","0","0","0","0","0","0","0","0","","0","0","0","3","","0","0","0","0","","0","","0","0","","0","0","1","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","","0","0","","","0","0","0","0","0","0","0","0","1","0","","0","4","0","0","11","0","0","","","0","0","0","0","0","0","0"
