"date","Meghalaya/East Garo Hills","Meghalaya/East Jaintia Hills","Meghalaya/East Khasi Hills","Meghalaya/North Garo Hills","Meghalaya/RiBhoi","Meghalaya/Ribhoi","Meghalaya/South Garo Hills","Meghalaya/South West Garo Hills","Meghalaya/South West Khasi Hills","Meghalaya/West Garo Hills","Meghalaya/West Jaintia Hills","Meghalaya/West Khasi Hills"
"2020-04-13","","","","","","","","","","","",""
"2020-04-15","","","","","","","","","","","",""
"2020-04-16","","","","","","","","","","","",""
"2020-04-18","","","","","","","","","","","",""
"2020-04-21","",""," ##.## %","","","","","","","","",""
"2020-05-01","",""," ##.## %","","","","","","","","",""
"2020-05-09","",""," 13.64 %","","","","","","","","",""
"2020-05-13","","","  7.93 %","","","","","","","","",""
"2020-05-18","","","  3.48 %","","","","","","","","",""
"2020-05-20","","","","","","","","","","","",""
"2020-05-25","","","","","","","","","","","",""
"2020-05-26","","","  9.36 %","","","","","","","","",""
"2020-05-28","","","","","","","","","","","",""
"2020-05-29","",""," 10.47 %","","","","","","","","",""
"2020-06-01","","","","","","","","","","","",""
"2020-06-02","","","","","","","","","","","",""
"2020-06-03","",""," 10.91 %","","","","","","","","",""
"2020-06-07","",""," 13.77 %","","","","","","","","",""
"2020-06-08","","","","","","","","","","","",""
"2020-06-09","","","","","","","","","","","",""
"2020-06-10","",""," 14.60 %","","","","","","","","",""
"2020-06-12","","","  6.91 %","","","","","",""," 43.33 %","",""
"2020-06-13","","","","","","","","",""," 43.33 %","",""
"2020-06-14","","","","","","","","","","","",""
"2020-06-16","","","","","","","","",""," 23.33 %","",""
"2020-06-17","","","  5.80 %","","","",""," 11.67 %","","","",""
"2020-06-18","","","","","","","","","","","",""
"2020-06-22","","","","","","",""," 19.67 %","","","",""
"2020-06-23","","","","","","","","","",""," 65.00 %",""
"2020-06-26","","","  4.49 %","","","","","","","","",""
"2020-06-28","","","  3.17 %","","","","","","","","",""
"2020-06-29","","","  3.05 %","","","","","","","","",""
"2020-06-30","","","","","","","","",""," 17.33 %","",""
"2020-07-01","","","  4.43 %","","","","","","","","",""
"2020-07-02","","","","","","","","","","","",""
"2020-07-03","","","  5.72 %","",""," 45.00 %","","","","  7.33 %","",""
"2020-07-04","","","  6.74 %","",""," 65.00 %","","","","","",""
"2020-07-05","","","  5.76 %","",""," 87.00 %","","","","","",""
"2020-07-06","",""," 11.53 %","",""," 92.45 %","","",""," 10.19 %","",""
"2020-07-07","",""," 12.60 %","","","","","","","","",""
"2020-07-08","",""," 12.76 %","",""," 35.31 %",""," 13.00 %","","","",""
"2020-07-09","",""," 15.35 %","","","","","","","","",""
"2020-07-10","",""," 32.57 %","","","","","","","","",""
"2020-07-16","",""," 51.24 %","",""," 40.31 %","","  8.00 %",""," 20.19 %","",""
"2020-07-17","",""," 50.02 %","",""," 26.15 %","","","","","",""
"2020-07-18","",""," 49.00 %","",""," 26.73 %","","",""," 25.19 %","",""
"2020-07-19","",""," 46.45 %","",""," 21.84 %",""," 10.86 %","","","",""
"2020-07-20","",""," 29.56 %","","","","","",""," 25.19 %","",""
"2020-07-21","","","  5.09 %","",""," 22.87 %","","",""," 21.86 %"," 69.00 %",""
"2020-07-22","","","  4.82 %","","","","","","",""," 22.33 %",""
"2020-07-23","","","  5.02 %","","","",""," 18.36 %",""," 22.33 %","",""
